dteday,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
11/03/2012,1,3,0,0,0,1,0.361739,0.35967,0.476957,0.222587,4911
12/03/2012,1,3,0,1,1,1,0.466667,0.459592,0.489167,0.207713,5298
13/03/2012,1,3,0,2,1,1,0.565,0.542929,0.6175,0.23695,5847
14/03/2012,1,3,0,3,1,1,0.5725,0.548617,0.507083,0.115062,6312
15/03/2012,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,6192
16/03/2012,1,3,0,5,1,2,0.435833,0.436229,0.842083,0.113192,4378
17/03/2012,1,3,0,6,0,2,0.514167,0.505046,0.755833,0.110704,7836
18/03/2012,1,3,0,0,0,2,0.4725,0.464,0.81,0.126883,5892
19/03/2012,1,3,0,1,1,1,0.545,0.532821,0.72875,0.162317,6153
20/03/2012,1,3,0,2,1,1,0.560833,0.538533,0.807917,0.121271,6093
21/03/2012,2,3,0,3,1,2,0.531667,0.513258,0.82125,0.0895583,6230
22/03/2012,2,3,0,4,1,1,0.554167,0.531567,0.83125,0.117562,6871
23/03/2012,2,3,0,5,1,2,0.601667,0.570067,0.694167,0.1163,8362
24/03/2012,2,3,0,6,0,2,0.5025,0.486733,0.885417,0.192783,3372
25/03/2012,2,3,0,0,0,2,0.4375,0.437488,0.880833,0.220775,4996
26/03/2012,2,3,0,1,1,1,0.445833,0.43875,0.477917,0.386821,5558
27/03/2012,2,3,0,2,1,1,0.323333,0.315654,0.29,0.187192,5102
28/03/2012,2,3,0,3,1,1,0.484167,0.47095,0.48125,0.291671,5698
29/03/2012,2,3,0,4,1,1,0.494167,0.482304,0.439167,0.31965,6133
30/03/2012,2,3,0,5,1,2,0.37,0.375621,0.580833,0.138067,5459
31/03/2012,2,3,0,6,0,2,0.424167,0.421708,0.738333,0.250617,6235
01/04/2012,2,4,0,0,0,2,0.425833,0.417287,0.67625,0.172267,6041
02/04/2012,2,4,0,1,1,1,0.433913,0.427513,0.504348,0.312139,5936
03/04/2012,2,4,0,2,1,1,0.466667,0.461483,0.396667,0.100133,6772
04/04/2012,2,4,0,3,1,1,0.541667,0.53345,0.469583,0.180975,6436
05/04/2012,2,4,0,4,1,1,0.435,0.431163,0.374167,0.219529,6457
06/04/2012,2,4,0,5,1,1,0.403333,0.390767,0.377083,0.300388,6460
07/04/2012,2,4,0,6,0,1,0.4375,0.426129,0.254167,0.274871,6857
08/04/2012,2,4,0,0,0,1,0.5,0.492425,0.275833,0.232596,5169
09/04/2012,2,4,0,1,1,1,0.489167,0.476638,0.3175,0.358196,5585
10/04/2012,2,4,0,2,1,1,0.446667,0.436233,0.435,0.249375,5918
11/04/2012,2,4,0,3,1,1,0.348696,0.337274,0.469565,0.295274,4862
12/04/2012,2,4,0,4,1,1,0.3975,0.387604,0.46625,0.290429,5409
13/04/2012,2,4,0,5,1,1,0.4425,0.431808,0.408333,0.155471,6398
14/04/2012,2,4,0,6,0,1,0.495,0.487996,0.502917,0.190917,7460
15/04/2012,2,4,0,0,0,1,0.606667,0.573875,0.507917,0.225129,7132
16/04/2012,2,4,1,1,0,1,0.664167,0.614925,0.561667,0.284829,6370
17/04/2012,2,4,0,2,1,1,0.608333,0.598487,0.390417,0.273629,6691
18/04/2012,2,4,0,3,1,2,0.463333,0.457038,0.569167,0.167912,4367
19/04/2012,2,4,0,4,1,1,0.498333,0.493046,0.6125,0.0659292,6565
20/04/2012,2,4,0,5,1,1,0.526667,0.515775,0.694583,0.149871,7290
21/04/2012,2,4,0,6,0,1,0.57,0.542921,0.682917,0.283587,6624
22/04/2012,2,4,0,0,0,3,0.396667,0.389504,0.835417,0.344546,1027
23/04/2012,2,4,0,1,1,2,0.321667,0.301125,0.766667,0.303496,3214
24/04/2012,2,4,0,2,1,1,0.413333,0.405283,0.454167,0.249383,5633
25/04/2012,2,4,0,3,1,1,0.476667,0.470317,0.427917,0.118792,6196
26/04/2012,2,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625,5026
27/04/2012,2,4,0,5,1,1,0.4575,0.452637,0.400833,0.347633,6233
28/04/2012,2,4,0,6,0,2,0.376667,0.377504,0.489583,0.129975,4220
29/04/2012,2,4,0,0,0,1,0.458333,0.450121,0.587083,0.116908,6304
30/04/2012,2,4,0,1,1,2,0.464167,0.457696,0.57,0.171638,5572
01/05/2012,2,5,0,2,1,2,0.613333,0.577021,0.659583,0.156096,5740
02/05/2012,2,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058,6169
03/05/2012,2,5,0,4,1,2,0.56,0.537242,0.768333,0.133696,6421
04/05/2012,2,5,0,5,1,1,0.6275,0.590917,0.735417,0.162938,6296
05/05/2012,2,5,0,6,0,2,0.621667,0.584608,0.756667,0.152992,6883
06/05/2012,2,5,0,0,0,2,0.5625,0.546737,0.74,0.149879,6359
07/05/2012,2,5,0,1,1,2,0.5375,0.527142,0.664167,0.230721,6273
08/05/2012,2,5,0,2,1,2,0.581667,0.557471,0.685833,0.296029,5728
09/05/2012,2,5,0,3,1,2,0.575,0.553025,0.744167,0.216412,4717
10/05/2012,2,5,0,4,1,1,0.505833,0.491783,0.552083,0.314063,6572
11/05/2012,2,5,0,5,1,1,0.533333,0.520833,0.360417,0.236937,7030
12/05/2012,2,5,0,6,0,1,0.564167,0.544817,0.480417,0.123133,7429
13/05/2012,2,5,0,0,0,1,0.6125,0.585238,0.57625,0.225117,6118
14/05/2012,2,5,0,1,1,2,0.573333,0.5499,0.789583,0.212692,2843
15/05/2012,2,5,0,2,1,2,0.611667,0.576404,0.794583,0.147392,5115
16/05/2012,2,5,0,3,1,1,0.636667,0.595975,0.697917,0.122512,7424
17/05/2012,2,5,0,4,1,1,0.593333,0.572613,0.52,0.229475,7384
18/05/2012,2,5,0,5,1,1,0.564167,0.551121,0.523333,0.136817,7639
19/05/2012,2,5,0,6,0,1,0.6,0.566908,0.45625,0.083975,8294
20/05/2012,2,5,0,0,0,1,0.620833,0.583967,0.530417,0.254367,7129
21/05/2012,2,5,0,1,1,2,0.598333,0.565667,0.81125,0.233204,4359
22/05/2012,2,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,6073
23/05/2012,2,5,0,3,1,2,0.621667,0.584612,0.774583,0.102,5260
24/05/2012,2,5,0,4,1,1,0.655,0.6067,0.716667,0.172896,6770
25/05/2012,2,5,0,5,1,1,0.68,0.627529,0.747083,0.14055,6734
26/05/2012,2,5,0,6,0,1,0.6925,0.642696,0.7325,0.198992,6536
27/05/2012,2,5,0,0,0,1,0.69,0.641425,0.697083,0.215171,6591
28/05/2012,2,5,1,1,0,1,0.7125,0.6793,0.67625,0.196521,6043
29/05/2012,2,5,0,2,1,1,0.7225,0.672992,0.684583,0.2954,5743
30/05/2012,2,5,0,3,1,2,0.656667,0.611129,0.67,0.134329,6855
31/05/2012,2,5,0,4,1,1,0.68,0.631329,0.492917,0.195279,7338
01/06/2012,2,6,0,5,1,2,0.654167,0.607962,0.755417,0.237563,4127
02/06/2012,2,6,0,6,0,1,0.583333,0.566288,0.549167,0.186562,8120
03/06/2012,2,6,0,0,0,1,0.6025,0.575133,0.493333,0.184087,7641
04/06/2012,2,6,0,1,1,1,0.5975,0.578283,0.487083,0.284833,6998
05/06/2012,2,6,0,2,1,2,0.540833,0.525892,0.613333,0.209575,7001
06/06/2012,2,6,0,3,1,1,0.554167,0.542292,0.61125,0.077125,7055
07/06/2012,2,6,0,4,1,1,0.6025,0.569442,0.567083,0.15735,7494
08/06/2012,2,6,0,5,1,1,0.649167,0.597862,0.467917,0.175383,7736
09/06/2012,2,6,0,6,0,1,0.710833,0.648367,0.437083,0.144287,7498
10/06/2012,2,6,0,0,0,1,0.726667,0.663517,0.538333,0.133721,6598
11/06/2012,2,6,0,1,1,2,0.720833,0.659721,0.587917,0.207713,6664
12/06/2012,2,6,0,2,1,2,0.653333,0.597875,0.833333,0.214546,4972
13/06/2012,2,6,0,3,1,1,0.655833,0.611117,0.582083,0.343279,7421
14/06/2012,2,6,0,4,1,1,0.648333,0.624383,0.569583,0.253733,7363
15/06/2012,2,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,7665
16/06/2012,2,6,0,6,0,1,0.631667,0.594708,0.504167,0.166667,7702
17/06/2012,2,6,0,0,0,1,0.5925,0.571975,0.59875,0.144904,6978
18/06/2012,2,6,0,1,1,2,0.568333,0.544842,0.777917,0.174746,5099
19/06/2012,2,6,0,2,1,1,0.688333,0.654692,0.69,0.148017,6825
20/06/2012,2,6,0,3,1,1,0.7825,0.720975,0.592083,0.113812,6211
21/06/2012,3,6,0,4,1,1,0.805833,0.752542,0.567917,0.118787,5905
22/06/2012,3,6,0,5,1,1,0.7775,0.724121,0.57375,0.182842,5823
23/06/2012,3,6,0,6,0,1,0.731667,0.652792,0.534583,0.179721,7458
24/06/2012,3,6,0,0,0,1,0.743333,0.674254,0.479167,0.145525,6891
25/06/2012,3,6,0,1,1,1,0.715833,0.654042,0.504167,0.300383,6779
26/06/2012,3,6,0,2,1,1,0.630833,0.594704,0.373333,0.347642,7442
27/06/2012,3,6,0,3,1,1,0.6975,0.640792,0.36,0.271775,7335
28/06/2012,3,6,0,4,1,1,0.749167,0.675512,0.4225,0.17165,6879
29/06/2012,3,6,0,5,1,1,0.834167,0.786613,0.48875,0.165417,5463
30/06/2012,3,6,0,6,0,1,0.765,0.687508,0.60125,0.161071,5687
01/07/2012,3,7,0,0,0,1,0.815833,0.750629,0.51875,0.168529,5531
02/07/2012,3,7,0,1,1,1,0.781667,0.702038,0.447083,0.195267,6227
03/07/2012,3,7,0,2,1,1,0.780833,0.70265,0.492083,0.126237,6660
04/07/2012,3,7,1,3,0,1,0.789167,0.732337,0.53875,0.13495,7403
05/07/2012,3,7,0,4,1,1,0.8275,0.761367,0.457917,0.194029,6241
06/07/2012,3,7,0,5,1,1,0.828333,0.752533,0.450833,0.146142,6207
07/07/2012,3,7,0,6,0,1,0.861667,0.804913,0.492083,0.163554,4840
08/07/2012,3,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629,4672
09/07/2012,3,7,0,1,1,2,0.710833,0.654054,0.683333,0.180975,6569
10/07/2012,3,7,0,2,1,2,0.720833,0.664796,0.6675,0.151737,6290
11/07/2012,3,7,0,3,1,1,0.716667,0.650271,0.633333,0.151733,7264
12/07/2012,3,7,0,4,1,1,0.715833,0.654683,0.529583,0.146775,7446
13/07/2012,3,7,0,5,1,2,0.731667,0.667933,0.485833,0.08085,7499
14/07/2012,3,7,0,6,0,2,0.703333,0.666042,0.699167,0.143679,6969
15/07/2012,3,7,0,0,0,1,0.745833,0.705196,0.717917,0.166667,6031
16/07/2012,3,7,0,1,1,1,0.763333,0.724125,0.645,0.164187,6830
17/07/2012,3,7,0,2,1,1,0.818333,0.755683,0.505833,0.114429,6786
18/07/2012,3,7,0,3,1,1,0.793333,0.745583,0.577083,0.137442,5713
19/07/2012,3,7,0,4,1,1,0.77,0.714642,0.600417,0.165429,6591
20/07/2012,3,7,0,5,1,2,0.665833,0.613025,0.844167,0.208967,5870
21/07/2012,3,7,0,6,0,3,0.595833,0.549912,0.865417,0.2133,4459
22/07/2012,3,7,0,0,0,2,0.6675,0.623125,0.7625,0.0939208,7410
23/07/2012,3,7,0,1,1,1,0.741667,0.690017,0.694167,0.138683,6966
24/07/2012,3,7,0,2,1,1,0.750833,0.70645,0.655,0.211454,7592
25/07/2012,3,7,0,3,1,1,0.724167,0.654054,0.45,0.1648,8173
26/07/2012,3,7,0,4,1,1,0.776667,0.739263,0.596667,0.284813,6861
27/07/2012,3,7,0,5,1,1,0.781667,0.734217,0.594583,0.152992,6904
28/07/2012,3,7,0,6,0,1,0.755833,0.697604,0.613333,0.15735,6685
29/07/2012,3,7,0,0,0,1,0.721667,0.667933,0.62375,0.170396,6597
30/07/2012,3,7,0,1,1,1,0.730833,0.684987,0.66875,0.153617,7105
31/07/2012,3,7,0,2,1,1,0.713333,0.662896,0.704167,0.165425,7216
01/08/2012,3,8,0,3,1,1,0.7175,0.667308,0.6775,0.141179,7580
02/08/2012,3,8,0,4,1,1,0.7525,0.707088,0.659583,0.129354,7261
03/08/2012,3,8,0,5,1,2,0.765833,0.722867,0.6425,0.215792,7175
04/08/2012,3,8,0,6,0,1,0.793333,0.751267,0.613333,0.257458,6824
05/08/2012,3,8,0,0,0,1,0.769167,0.731079,0.6525,0.290421,5464
06/08/2012,3,8,0,1,1,2,0.7525,0.710246,0.654167,0.129354,7013
07/08/2012,3,8,0,2,1,2,0.735833,0.697621,0.70375,0.116908,7273
08/08/2012,3,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,7534
09/08/2012,3,8,0,4,1,1,0.755833,0.699508,0.620417,0.1561,7286
10/08/2012,3,8,0,5,1,2,0.715833,0.667942,0.715833,0.238813,5786
11/08/2012,3,8,0,6,0,2,0.6925,0.638267,0.732917,0.206479,6299
12/08/2012,3,8,0,0,0,1,0.700833,0.644579,0.530417,0.122512,6544
13/08/2012,3,8,0,1,1,1,0.720833,0.662254,0.545417,0.136212,6883
14/08/2012,3,8,0,2,1,1,0.726667,0.676779,0.686667,0.169158,6784
15/08/2012,3,8,0,3,1,1,0.706667,0.654037,0.619583,0.169771,7347
16/08/2012,3,8,0,4,1,1,0.719167,0.654688,0.519167,0.141796,7605
17/08/2012,3,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,7148
18/08/2012,3,8,0,6,0,1,0.678333,0.618071,0.603333,0.177867,7865
19/08/2012,3,8,0,0,0,2,0.635833,0.603554,0.711667,0.08645,4549
20/08/2012,3,8,0,1,1,2,0.635833,0.595967,0.734167,0.129979,6530
21/08/2012,3,8,0,2,1,1,0.649167,0.601025,0.67375,0.0727708,7006
22/08/2012,3,8,0,3,1,1,0.6675,0.621854,0.677083,0.0702833,7375
23/08/2012,3,8,0,4,1,1,0.695833,0.637008,0.635833,0.0845958,7765
24/08/2012,3,8,0,5,1,2,0.7025,0.6471,0.615,0.0721458,7582
25/08/2012,3,8,0,6,0,2,0.661667,0.618696,0.712917,0.244408,6053
26/08/2012,3,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,5255
27/08/2012,3,8,0,1,1,1,0.703333,0.654688,0.730417,0.128733,6917
28/08/2012,3,8,0,2,1,1,0.728333,0.66605,0.62,0.190925,7040
29/08/2012,3,8,0,3,1,1,0.685,0.635733,0.552083,0.112562,7697
30/08/2012,3,8,0,4,1,1,0.706667,0.652779,0.590417,0.0771167,7713
31/08/2012,3,8,0,5,1,1,0.764167,0.6894,0.5875,0.168533,7350
01/09/2012,3,9,0,6,0,2,0.753333,0.702654,0.638333,0.113187,6140
02/09/2012,3,9,0,0,0,2,0.696667,0.649,0.815,0.0640708,5810
03/09/2012,3,9,1,1,0,1,0.7075,0.661629,0.790833,0.151121,6034
04/09/2012,3,9,0,2,1,1,0.725833,0.686888,0.755,0.236321,6864
05/09/2012,3,9,0,3,1,1,0.736667,0.708983,0.74125,0.187808,7112
06/09/2012,3,9,0,4,1,2,0.696667,0.655329,0.810417,0.142421,6203
07/09/2012,3,9,0,5,1,1,0.703333,0.657204,0.73625,0.171646,7504
08/09/2012,3,9,0,6,0,2,0.659167,0.611121,0.799167,0.281104,5976
09/09/2012,3,9,0,0,0,1,0.61,0.578925,0.5475,0.224496,8227
10/09/2012,3,9,0,1,1,1,0.583333,0.565654,0.50375,0.258713,7525
11/09/2012,3,9,0,2,1,1,0.5775,0.554292,0.52,0.0920542,7767
12/09/2012,3,9,0,3,1,1,0.599167,0.570075,0.577083,0.131846,7870
13/09/2012,3,9,0,4,1,1,0.6125,0.579558,0.637083,0.0827208,7804
14/09/2012,3,9,0,5,1,1,0.633333,0.594083,0.6725,0.103863,8009
15/09/2012,3,9,0,6,0,1,0.608333,0.585867,0.501667,0.247521,8714
16/09/2012,3,9,0,0,0,1,0.58,0.563125,0.57,0.0901833,7333
17/09/2012,3,9,0,1,1,2,0.580833,0.55305,0.734583,0.151742,6869
18/09/2012,3,9,0,2,1,2,0.623333,0.565067,0.8725,0.357587,4073
19/09/2012,3,9,0,3,1,1,0.5525,0.540404,0.536667,0.215175,7591
20/09/2012,3,9,0,4,1,1,0.546667,0.532192,0.618333,0.118167,7720
21/09/2012,3,9,0,5,1,1,0.599167,0.571971,0.66875,0.154229,8167
22/09/2012,3,9,0,6,0,1,0.65,0.610488,0.646667,0.283583,8395
23/09/2012,4,9,0,0,0,1,0.529167,0.518933,0.467083,0.223258,7907
24/09/2012,4,9,0,1,1,1,0.514167,0.502513,0.492917,0.142404,7436
25/09/2012,4,9,0,2,1,1,0.55,0.544179,0.57,0.236321,7538
26/09/2012,4,9,0,3,1,1,0.635,0.596613,0.630833,0.2444,7733
27/09/2012,4,9,0,4,1,2,0.65,0.607975,0.690833,0.134342,7393
28/09/2012,4,9,0,5,1,2,0.619167,0.585863,0.69,0.164179,7415
29/09/2012,4,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,8555
30/09/2012,4,9,0,0,0,1,0.526667,0.517663,0.583333,0.134958,6889
01/10/2012,4,10,0,1,1,2,0.520833,0.512,0.649167,0.0908042,6778
02/10/2012,4,10,0,2,1,3,0.590833,0.542333,0.871667,0.104475,4639
03/10/2012,4,10,0,3,1,2,0.6575,0.599133,0.79375,0.0665458,7572
04/10/2012,4,10,0,4,1,2,0.6575,0.607975,0.722917,0.117546,7328
05/10/2012,4,10,0,5,1,1,0.615,0.580187,0.6275,0.10635,8156
06/10/2012,4,10,0,6,0,1,0.554167,0.538521,0.664167,0.268025,7965
07/10/2012,4,10,0,0,0,2,0.415833,0.419813,0.708333,0.141162,3510
08/10/2012,4,10,1,1,0,2,0.383333,0.387608,0.709583,0.189679,5478
09/10/2012,4,10,0,2,1,2,0.446667,0.438112,0.761667,0.1903,6392
10/10/2012,4,10,0,3,1,1,0.514167,0.503142,0.630833,0.187821,7691
11/10/2012,4,10,0,4,1,1,0.435,0.431167,0.463333,0.181596,7570
12/10/2012,4,10,0,5,1,1,0.4375,0.433071,0.539167,0.235092,7282
13/10/2012,4,10,0,6,0,1,0.393333,0.391396,0.494583,0.146142,7109
14/10/2012,4,10,0,0,0,1,0.521667,0.508204,0.640417,0.278612,6639
15/10/2012,4,10,0,1,1,2,0.561667,0.53915,0.7075,0.296037,5875
16/10/2012,4,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,7534
17/10/2012,4,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,7461
18/10/2012,4,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,7509
19/10/2012,4,10,0,5,1,2,0.563333,0.537896,0.815,0.134954,5424
20/10/2012,4,10,0,6,0,1,0.484167,0.472842,0.572917,0.117537,8090
21/10/2012,4,10,0,0,0,1,0.464167,0.456429,0.51,0.166054,6824
22/10/2012,4,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,7058
23/10/2012,4,10,0,2,1,1,0.544167,0.530304,0.641667,0.0945458,7466
24/10/2012,4,10,0,3,1,1,0.5875,0.558721,0.63625,0.0727792,7693
25/10/2012,4,10,0,4,1,2,0.55,0.529688,0.800417,0.124375,7359
26/10/2012,4,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,7444
27/10/2012,4,10,0,6,0,2,0.53,0.515133,0.72,0.235692,7852
28/10/2012,4,10,0,0,0,2,0.4775,0.467771,0.694583,0.398008,4459
29/10/2012,4,10,0,1,1,3,0.44,0.4394,0.88,0.3582,22
30/10/2012,4,10,0,2,1,2,0.318182,0.309909,0.825455,0.213009,1096
31/10/2012,4,10,0,3,1,2,0.3575,0.3611,0.666667,0.166667,5566
01/11/2012,4,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,5986
02/11/2012,4,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,5847
03/11/2012,4,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529,5138
04/11/2012,4,11,0,0,0,1,0.325833,0.329538,0.532917,0.179108,5107
05/11/2012,4,11,0,1,1,1,0.319167,0.308075,0.494167,0.236325,5259
06/11/2012,4,11,0,2,1,1,0.280833,0.281567,0.567083,0.173513,5686
07/11/2012,4,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108,5035
08/11/2012,4,11,0,4,1,1,0.352174,0.341891,0.333478,0.347835,5315
09/11/2012,4,11,0,5,1,1,0.361667,0.355413,0.540833,0.214558,5992
10/11/2012,4,11,0,6,0,1,0.389167,0.393937,0.645417,0.0578458,6536
11/11/2012,4,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275,6852
12/11/2012,4,11,1,1,0,1,0.485,0.475383,0.741667,0.173517,6269
13/11/2012,4,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,4094
14/11/2012,4,11,0,3,1,1,0.289167,0.281563,0.552083,0.199625,5495
15/11/2012,4,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,5445
16/11/2012,4,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,5698
17/11/2012,4,11,0,6,0,1,0.325,0.326383,0.545417,0.179729,5629
18/11/2012,4,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,4669
19/11/2012,4,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,5499
20/11/2012,4,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,5634
21/11/2012,4,11,0,3,1,1,0.353333,0.364892,0.61375,0.103246,5146
22/11/2012,4,11,1,4,0,1,0.34,0.350371,0.580417,0.0528708,2425
23/11/2012,4,11,0,5,1,1,0.368333,0.378779,0.56875,0.148021,3910
24/11/2012,4,11,0,6,0,1,0.278333,0.248742,0.404583,0.376871,2277
25/11/2012,4,11,0,0,0,1,0.245833,0.257583,0.468333,0.1505,2424
26/11/2012,4,11,0,1,1,1,0.313333,0.339004,0.535417,0.04665,5087
27/11/2012,4,11,0,2,1,2,0.291667,0.281558,0.786667,0.237562,3959
